,Uncheck External Calls,Strict Balance Equality,Transaction State Dependency,Block Info Dependency,Greedy Contract,DoS Under External Influence,Nest Call,Reentrancy
dd5a3aeef473401c23f24c4c6b9cd1b0808fbb36,0,0,0,0,0,0,0,0
338649003ff30194be899100b67a00bbcd62af67,0,0,0,0,0,0,0,0
723f74668599c9327138bc97bff04eb9ad44a3fa,0,0,0,0,0,0,0,0
E2EC7cF6BBaE29b928238a37A7E66dBc4Dc20794,0,0,0,0,0,0,0,0
f7bc84a0e505cd424ce7706a67046271ace20ec8,0,0,0,0,0,0,0,0
8BF1E43e3Ca6f5c25C380803154aE687D682Ad32,0,0,0,0,0,0,0,0
2af47a65da8cd66729b4209c22017d6a5c2d2400,0,0,0,0,0,0,0,0
27218c41e1054dc0484acd2ad35def0ffd17782a,0,0,0,0,0,0,0,0
219218f117dc9348b358b8471c55a073e5e0da0b,0,0,0,0,0,0,0,0
5b36208992284CEFA4de83F2Fb34B33D1A75d4B7,0,0,0,0,0,0,0,0
C16b542ff490e01fcc0DC58a60e1EFdc3e357cA6,0,0,0,0,0,1,1,0
1d840cb510f084e6154c85d14d98cdc8f7a3b4d5,0,0,0,0,0,0,0,0
16885883e2785C56D279636b45fB85d8F9B0db23,0,0,0,0,0,0,0,0
7c21d723af0f4594d4f8821aa16bc27c8ea6cec7,0,0,0,0,0,0,0,0
e7dfDF4b7Dd5e9BD0bb94d59379219B625A6433d,0,0,0,0,0,0,0,0
c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,0,0,0,0,0,0,0
01d5d0108589f3c52fcce6e65503bb6515e66698,0,1,0,0,0,0,0,0
19d7a9ad3b49252fd2ef640d0e43dfd651168499,0,0,0,0,0,0,0,0
d3d20f3f0ededb2a1503dc8858c7c6f37c2b22cf,0,0,0,0,0,0,0,0
adb41fcd3df9ff681680203a074271d3b3dae526,0,0,0,0,0,0,0,0
d5abcc4c80fd01d8822f35f379fbcebf7a8b8679,0,0,0,0,0,0,0,0
b00b5f9a21b79901d687d6d952319af767a116ca,0,0,0,0,0,0,0,0
580f18c090914EB9eDbb3d6A810C9789a91c7ba4,0,0,0,0,0,0,0,0
14f109d126c58b5bf55cdc51b9bd90b21e6a6de5,0,0,0,0,0,0,0,0
49fddeae0b521dab8d0c4b77e7161094f971320d,0,0,0,0,0,0,0,0
8d2AAE6a7EB63Ba89c36e82385f096d41074Cd87,0,0,0,0,0,0,0,0
53e3a7ec57132173ce615debb9a303fd2cd86789,0,0,0,0,0,0,0,0
B71Cd8f21D5C21edcd113CA2807189ddcAf9DD44,0,0,0,1,0,0,0,0
3209f7ae16d545c60d8cc9c6a5f02181a94fea52,0,0,0,0,0,0,0,0
f69cD472e4EfB38aa320470422C133Ff546B16CC,0,0,0,0,0,0,0,0
af7aea249098f2c2f50cc11d4000ccf798194373,0,0,0,0,0,0,0,0
fb6916095ca1df60bb79ce92ce3ea74c37c5d359,1,0,0,0,0,0,0,1
ba2184520a1cc49a6159c57e61e1844e085615b6,0,0,0,0,0,0,0,0
cdb7ecfd3403eef3882c65b761ef9b5054890a47,0,0,0,0,0,0,0,0
cafe1a77e84698c83ca8931f54a755176ef75f2c,0,0,0,0,0,0,0,0
a37adde3ba20a396338364e2ddb5e0897d11a91d,0,0,0,0,0,0,0,0
0b1724cc9fda0186911ef6a75949e9c0d3f0f2f3,0,0,0,0,0,0,0,0
1de4b791c6c7230dffb6d1ecce8eef1ed7f631f9,0,0,0,0,0,0,0,0
14a3f4795076c0ae67c2aa9efc10e58427a00dff,0,0,0,0,0,0,0,0
ca6bea8e144b0a6aebbb412e6ad0e7ff1959235e,0,0,0,0,0,0,0,0
320274f5dd332cc3b617b360e8554d95a0b96978,0,0,0,0,0,0,0,0
b694a9ee2eed5dc6d58599a25874abda504fa60a,0,0,0,0,0,0,0,0
49516fe7bdc54b29a7f95ff55fdd38d9228e55af,0,0,0,0,0,0,0,0
225ad9683005ce6fde4eae78c7ed91a499182378,0,0,0,0,0,0,0,0
52519fd6cb827ec77e961c76c9b326470703d0a8,0,0,0,0,0,0,0,0
4a412fe6e60949016457897f9170bb00078b89a3,0,0,0,0,0,0,0,0
12b58582694d1f854ce2a947b27be598569fbc92,0,0,0,0,0,0,0,0
899f9a0440face1397a1ee1e3f6bf3580a6633d1,0,0,0,0,0,0,0,0
6c9e70d6682ea36ff340153d574b2c523671b107,0,0,0,0,0,0,0,0
23a20f8e0b5c79f39a2b4395a610a60fb30bc71d,0,0,0,0,0,0,0,0
51036b0029e95ecbce4784df0a87987d1092ec7d,0,0,0,0,0,0,0,0
bd6bfb97124bce7cab703e6aa6968706c5f0feea,0,0,0,0,0,0,0,0
895d55ce51760ca614b5b446a504c4a49e2d26e8,0,0,0,0,0,0,0,0
491559dd3dfdbca13edc74569e86c8a0d517975b,0,0,0,0,0,0,0,0
